id,team,season,games_played,wins,losses,ot_losses,points,points_pct,goals_for,goals_against,goals_per_game,goals_against_per_game,goal_differential,shots_for,shots_against,shots_per_game,shots_against_per_game,pp_goals,pp_opportunities,pp_pct,pk_goals_against,pk_opportunities,pk_pct,faceoff_wins,faceoff_total,faceoff_pct,ot_wins,so_wins,so_losses,ot_game_pct,home_wins,home_losses,home_ot_losses,away_wins,away_losses,away_ot_losses,current_streak,last_10_record,division,conference,division_rank,conference_rank,league_rank,created_at
33,CGY,20212022,102,58,31,13,129,0.6323529411764706,349,269,3.4215686274509802,2.6372549019607843,80,3563,2981,34.931372549019606,29.225490196078432,0,0,0.0,0,0,0.0,0,0,0.0,7,0,0,0.0,31,0,0,27,0,0,,,,,,,,2026-02-24 17:47:19
38,CHI,20212022,88,31,43,14,76,0.4318181818181818,243,310,2.7613636363636362,3.522727272727273,-67,2550,2905,28.977272727272727,33.01136363636363,0,0,0.0,0,0,0.0,0,0,0.0,12,0,0,0.0,15,0,0,16,0,0,,,,,,,,2026-02-24 17:47:19
43,COL,20212022,108,74,26,8,156,0.7222222222222222,416,312,3.8518518518518516,2.888888888888889,104,3822,3366,35.388888888888886,31.166666666666668,0,0,0.0,0,0,0.0,0,0,0.0,15,0,0,0.0,41,0,0,33,0,0,,,,,,,,2026-02-24 17:47:19
48,DAL,20212022,96,52,35,9,113,0.5885416666666666,273,282,2.84375,2.9375,-9,2883,3028,30.03125,31.541666666666668,0,0,0.0,0,0,0.0,0,0,0.0,15,0,0,0.0,32,0,0,20,0,0,,,,,,,,2026-02-24 17:47:19
53,DET,20212022,90,36,44,10,82,0.45555555555555555,257,338,2.8555555555555556,3.7555555555555555,-81,2646,3017,29.4,33.522222222222226,0,0,0.0,0,0,0.0,0,0,0.0,12,0,0,0.0,21,0,0,15,0,0,,,,,,,,2026-02-24 17:47:19
58,EDM,20212022,106,63,34,9,135,0.6367924528301887,381,328,3.5943396226415096,3.0943396226415096,53,3582,3517,33.79245283018868,33.179245283018865,0,0,0.0,0,0,0.0,0,0,0.0,12,0,0,0.0,36,0,0,27,0,0,,,,,,,,2026-02-24 17:47:19
65,FLA,20212022,99,67,26,6,140,0.7070707070707071,388,301,3.919191919191919,3.04040404040404,87,3643,3034,36.7979797979798,30.646464646464647,0,0,0.0,0,0,0.0,0,0,0.0,20,0,0,0.0,39,0,0,28,0,0,,,,,,,,2026-02-24 17:47:19
70,LAK,20212022,96,50,34,12,112,0.5833333333333334,274,284,2.8541666666666665,2.9583333333333335,-10,3357,2789,34.96875,29.052083333333332,0,0,0.0,0,0,0.0,0,0,0.0,10,0,0,0.0,23,0,0,27,0,0,,,,,,,,2026-02-24 17:47:19
76,MIN,20212022,94,58,29,7,123,0.6542553191489362,343,298,3.648936170212766,3.1702127659574466,45,3042,2930,32.361702127659576,31.170212765957448,0,0,0.0,0,0,0.0,0,0,0.0,18,0,0,0.0,35,0,0,23,0,0,,,,,,,,2026-02-24 17:47:19
81,MTL,20212022,88,24,52,12,60,0.3409090909090909,237,344,2.6931818181818183,3.909090909090909,-107,2574,3022,29.25,34.34090909090909,0,0,0.0,0,0,0.0,0,0,0.0,6,0,0,0.0,13,0,0,11,0,0,,,,,,,,2026-02-24 17:47:19
86,NJD,20212022,87,31,47,9,71,0.40804597701149425,268,320,3.0804597701149423,3.67816091954023,-52,2697,2683,31.0,30.839080459770116,0,0,0.0,0,0,0.0,0,0,0.0,9,0,0,0.0,18,0,0,13,0,0,,,,,,,,2026-02-24 17:47:19
91,NSH,20212022,92,49,34,9,107,0.5815217391304348,299,289,3.25,3.141304347826087,10,2720,3008,29.565217391304348,32.69565217391305,0,0,0.0,0,0,0.0,0,0,0.0,11,0,0,0.0,27,0,0,22,0,0,,,,,,,,2026-02-24 17:47:19
96,NYI,20212022,87,40,35,12,92,0.5287356321839081,246,246,2.8275862068965516,2.8275862068965516,0,2519,2788,28.95402298850575,32.04597701149425,0,0,0.0,0,0,0.0,0,0,0.0,4,0,0,0.0,21,0,0,19,0,0,,,,,,,,2026-02-24 17:47:19
101,NYR,20212022,108,66,34,8,140,0.6481481481481481,335,287,3.1018518518518516,2.6574074074074074,48,3165,3471,29.305555555555557,32.138888888888886,0,0,0.0,0,0,0.0,0,0,0.0,11,0,0,0.0,37,0,0,29,0,0,,,,,,,,2026-02-24 17:47:19
106,OTT,20212022,89,36,46,7,79,0.4438202247191011,245,287,2.752808988764045,3.2247191011235956,-42,2641,2935,29.674157303370787,32.97752808988764,0,0,0.0,0,0,0.0,0,0,0.0,9,0,0,0.0,16,0,0,20,0,0,,,,,,,,2026-02-24 17:47:19
111,PHI,20212022,88,27,49,12,66,0.375,223,315,2.534090909090909,3.5795454545454546,-92,2700,2948,30.681818181818183,33.5,0,0,0.0,0,0,0.0,0,0,0.0,6,0,0,0.0,16,0,0,11,0,0,,,,,,,,2026-02-24 17:47:19
116,PIT,20212022,95,53,30,12,118,0.6210526315789474,319,273,3.357894736842105,2.873684210526316,46,3337,3020,35.126315789473686,31.789473684210527,0,0,0.0,0,0,0.0,0,0,0.0,12,0,0,0.0,27,0,0,26,0,0,,,,,,,,2026-02-24 17:47:19
120,SEA,20212022,88,31,51,6,68,0.38636363636363635,232,302,2.6363636363636362,3.4318181818181817,-70,2561,2514,29.102272727272727,28.568181818181817,0,0,0.0,0,0,0.0,0,0,0.0,6,0,0,0.0,18,0,0,13,0,0,,,,,,,,2026-02-24 17:47:19
125,SJS,20212022,88,35,39,14,84,0.4772727272727273,233,280,2.647727272727273,3.1818181818181817,-47,2603,2781,29.579545454545453,31.602272727272727,0,0,0.0,0,0,0.0,0,0,0.0,10,0,0,0.0,19,0,0,16,0,0,,,,,,,,2026-02-24 17:47:19
130,STL,20212022,102,59,30,13,131,0.6421568627450981,379,306,3.715686274509804,3.0,73,3084,3221,30.235294117647058,31.57843137254902,0,0,0.0,0,0,0.0,0,0,0.0,8,0,0,0.0,31,0,0,28,0,0,,,,,,,,2026-02-24 17:47:19
135,TBL,20212022,112,68,34,10,146,0.6517857142857143,378,321,3.375,2.8660714285714284,57,3439,3427,30.705357142857142,30.598214285714285,0,0,0.0,0,0,0.0,0,0,0.0,13,0,0,0.0,37,0,0,31,0,0,,,,,,,,2026-02-24 17:47:19
140,TOR,20212022,95,62,25,8,132,0.6947368421052632,362,286,3.8105263157894735,3.0105263157894737,76,3254,2851,34.252631578947366,30.010526315789473,0,0,0.0,0,0,0.0,0,0,0.0,9,0,0,0.0,36,0,0,26,0,0,,,,,,,,2026-02-24 17:47:19
145,VAN,20212022,89,42,35,12,96,0.5393258426966292,264,259,2.966292134831461,2.9101123595505616,5,2827,2812,31.764044943820224,31.59550561797753,0,0,0.0,0,0,0.0,0,0,0.0,8,0,0,0.0,22,0,0,20,0,0,,,,,,,,2026-02-24 17:47:19
